regex,output
LCBO/RAO,Alcohol
SHOPPERS[ ]?DRUG[ ]?MART,Consumer
UP THE BLOC,Sport
CITY OF TORONTO FERRY,Transit
AMAZON WEB SERVICES,Web Tech
AWS.AMAZON.COON,Web Tech
CINEPLEX,Cinema
TELUS,Phone
METRO,Consumer
TVM (ETOBICOKE|TORONTO),Transit
HOVER,Web Tech
UW WATCARD,Watcard
TVM - SQUARE ONE,Transit
DRIVETEST,Car
PRESTO,Transit
UNIVERSITY OF WATERLOO,Tuition
AMAZON.CA,Online
MCPHAIL'S CYCLE,Sport
MARINA CLEANERS,Dry Cleaning
THRONE LTD,Haircut
SOBEYS,Grocery
TURNKEY DESK,Feds
FEDERATION OF STUDENTS,Feds
DANA HOSPITALITY,SJU
UNIV OF W,Tuition
WAL-MART,Grocery
GOOGLE STORE,Online
TICKETLABS,Tickets
CYCLE BUTIK,Sport
NEARLYFREESPEECH,Web Tech
STORE MSBILL,Computer
AEO CANADA,Clothes
SPORTING LIFE,Clothes
SPORT CHEK,Clothes
ABERCROMBIE,Clothes
STEAMGAMES,Games
SUIT SUPPLY,Clothes
